mariana@fedora:~$ ps -eo pid,ppid,stat,ni,pri,psr,pcpu,pmem,nlwp,comm --sort=-pcpu
    PID    PPID STAT  NI PRI PSR %CPU %MEM NLWP COMMAND
   4337    3986 Ssl    0  19   1  0.0  0.0    5 gsd-keyboard
   4358    3986 Ssl    0  19   3  0.0  0.0    4 gsd-rfkill
   4329    3986 Ssl    0  19   0  0.0  0.0    5 gsd-a11y-settin
   4125    4091 Sl+    0  19   7  0.0  0.0    4 gnome-session-i
   4006       1 Sl     0  19   5  0.0  0.0    5 gnome-keyring-d
   3745    1555 Sl     0  19   2  0.0  0.0    4 gdm-session-wor
   3565    2204 Ss     0  19   2  0.0  0.0    1 postgres
   3455       1 Ss     0  19   2  0.0  0.0    1 wpa_supplicant
   2474    2204 Ss     0  19   8  0.0  0.0    1 postgres
   1694       1 Ssl    0  19   1  0.0  0.0    4 uresourced
   1554       1 Ss     0  19   2  0.0  0.0    1 crond
    996       1 Ss     0  19   0  0.0  0.0    1 cupsd
    825       1 Ss     0  19   8  0.0  0.0    1 smartd
    624       2 I<   -20  39  11  0.0  0.0    1 kworker/11:1H-kblockd
    574       2 I<   -20  39   5  0.0  0.0    1 kworker/5:1H-kblockd
    556       2 I<   -20  39  10  0.0  0.0    1 kworker/10:1H-kblockd
    555       2 I<   -20  39   4  0.0  0.0    1 kworker/4:1H-kblockd
    549       2 I<   -20  39   6  0.0  0.0    1 kworker/6:1H-kblockd
    548       2 I<   -20  39   7  0.0  0.0    1 kworker/7:1H-kblockd
     74       2 S      0  19   9  0.0  0.0    1 ksoftirqd/9
     38       2 S      0  19   3  0.0  0.0    1 ksoftirqd/3
      2       0 S      0  19   8  0.0  0.0    1 kthreadd
      3       2 S      0  19   4  0.0  0.0    1 pool_workqueue_release
      4       2 I<   -20  39   0  0.0  0.0    1 kworker/R-rcu_gp
      5       2 I<   -20  39   0  0.0  0.0    1 kworker/R-sync_wq
      6       2 I<   -20  39   0  0.0  0.0    1 kworker/R-kvfree_rcu_reclaim
      7       2 I<   -20  39   0  0.0  0.0    1 kworker/R-slub_flushwq
      8       2 I<   -20  39   0  0.0  0.0    1 kworker/R-netns
     10       2 I<   -20  39   0  0.0  0.0    1 kworker/0:0H-kblockd
     13       2 I<   -20  39   0  0.0  0.0    1 kworker/R-mm_percpu_wq
     17       2 S      0  19   0  0.0  0.0    1 rcu_exp_par_gp_kthread_worker/0
     20       2 S      0  19   0  0.0  0.0    1 kprobe-optimizer
     21       2 S      -  90   0  0.0  0.0    1 idle_inject/0
     22       2 S      0  19   0  0.0  0.0    1 cpuhp/0
     23       2 S      0  19   1  0.0  0.0    1 cpuhp/1
     24       2 S      -  90   1  0.0  0.0    1 idle_inject/1
     28       2 I<   -20  39   1  0.0  0.0    1 kworker/1:0H-kblockd
     29       2 S      0  19   2  0.0  0.0    1 cpuhp/2
     30       2 S      -  90   2  0.0  0.0    1 idle_inject/2
     34       2 I<   -20  39   2  0.0  0.0    1 kworker/2:0H-kblockd
     35       2 S      0  19   3  0.0  0.0    1 cpuhp/3
     36       2 S      -  90   3  0.0  0.0    1 idle_inject/3
     40       2 I<   -20  39   3  0.0  0.0    1 kworker/3:0H-kblockd
     41       2 S      0  19   4  0.0  0.0    1 cpuhp/4
     42       2 S      -  90   4  0.0  0.0    1 idle_inject/4
     44       2 S      0  19   4  0.0  0.0    1 ksoftirqd/4
     45       2 I      0  19   4  0.0  0.0    1 kworker/4:0-events
     46       2 I<   -20  39   4  0.0  0.0    1 kworker/4:0H-kblockd
     47       2 S      0  19   5  0.0  0.0    1 cpuhp/5
     48       2 S      -  90   5  0.0  0.0    1 idle_inject/5
     50       2 S      0  19   5  0.0  0.0    1 ksoftirqd/5
     52       2 I<   -20  39   5  0.0  0.0    1 kworker/5:0H-kblockd
     53       2 S      0  19   6  0.0  0.0    1 cpuhp/6
     54       2 S      -  90   6  0.0  0.0    1 idle_inject/6
     58       2 I<   -20  39   6  0.0  0.0    1 kworker/6:0H-kblockd
     59       2 S      0  19   7  0.0  0.0    1 cpuhp/7
     60       2 S      -  90   7  0.0  0.0    1 idle_inject/7
     62       2 S      0  19   7  0.0  0.0    1 ksoftirqd/7
     64       2 I<   -20  39   7  0.0  0.0    1 kworker/7:0H-kblockd
     65       2 S      0  19   8  0.0  0.0    1 cpuhp/8
     66       2 S      -  90   8  0.0  0.0    1 idle_inject/8
     70       2 I<   -20  39   8  0.0  0.0    1 kworker/8:0H-kblockd
     71       2 S      0  19   9  0.0  0.0    1 cpuhp/9
     72       2 S      -  90   9  0.0  0.0    1 idle_inject/9
     76       2 I<   -20  39   9  0.0  0.0    1 kworker/9:0H-kblockd
     77       2 S      0  19  10  0.0  0.0    1 cpuhp/10
     78       2 S      -  90  10  0.0  0.0    1 idle_inject/10
     80       2 S      0  19  10  0.0  0.0    1 ksoftirqd/10
     82       2 I<   -20  39  10  0.0  0.0    1 kworker/10:0H-kblockd
     83       2 S      0  19  11  0.0  0.0    1 cpuhp/11
     84       2 S      -  90  11  0.0  0.0    1 idle_inject/11
     86       2 S      0  19  11  0.0  0.0    1 ksoftirqd/11
     88       2 I<   -20  39  11  0.0  0.0    1 kworker/11:0H-kblockd
     89       2 S      0  19   8  0.0  0.0    1 kdevtmpfs
     90       2 I<   -20  39   9  0.0  0.0    1 kworker/R-inet_frag_wq
     91       2 I      0  19   6  0.0  0.0    1 rcu_tasks_kthread
     92       2 I      0  19   5  0.0  0.0    1 rcu_tasks_rude_kthread
     93       2 S      0  19   8  0.0  0.0    1 kauditd
     94       2 S      0  19   2  0.0  0.0    1 oom_reaper
     95       2 I<   -20  39   3  0.0  0.0    1 kworker/R-writeback
     98       2 SN     5  14   5  0.0  0.0    1 ksmd
     99       2 SN    19   0   4  0.0  0.0    1 khugepaged
    100       2 I<   -20  39   4  0.0  0.0    1 kworker/R-kblockd
    101       2 I<   -20  39   5  0.0  0.0    1 kworker/R-blkcg_punt_bio
    103       2 I<   -20  39   5  0.0  0.0    1 kworker/R-kintegrityd
    104       2 S      -  90   1  0.0  0.0    1 irq/9-acpi
    106       2 I<   -20  39   7  0.0  0.0    1 kworker/R-tpm_dev_wq
    107       2 I<   -20  39   7  0.0  0.0    1 kworker/R-ata_sff
    108       2 I<   -20  39   9  0.0  0.0    1 kworker/R-md_bitmap
    109       2 I<   -20  39   7  0.0  0.0    1 kworker/R-edac-poller
    110       2 I<   -20  39   9  0.0  0.0    1 kworker/R-devfreq_wq
    111       2 S      -  90   9  0.0  0.0    1 watchdogd
    112       2 I<   -20  39   9  0.0  0.0    1 kworker/R-quota_events_unbound
    113       2 S      -  90   2  0.0  0.0    1 irq/25-AMD-Vi0-Evt
    114       2 S      -  90   3  0.0  0.0    1 irq/26-AMD-Vi0-PPR
    115       2 S      -  90   4  0.0  0.0    1 irq/27-AMD-Vi0-GA
    119       2 I<   -20  39   9  0.0  0.0    1 kworker/R-cryptd
    122       2 I<   -20  39   7  0.0  0.0    1 kworker/R-kthrotld
    124       2 I<   -20  39   7  0.0  0.0    1 kworker/R-acpi_thermal_pm
    125       2 S      0  19   6  0.0  0.0    1 scsi_eh_0
